ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2012,9,29,6,27,Estádio São Januário,Ricardo Marques Ribeiro,Vasco da Gama,Figueirense FC,Marcelo Oliveira,Márcio Goiano,4,19,15750000,4200000,29.2,25.7,3,1,1,1,6,2,14,13,13,14,3,2,2,3,16,16,5,8
2012,10,24,3,32,Estádio São Januário,Héber Lopes,Vasco da Gama,Internacional,Marcelo Oliveira,Fernandão,5,6,17500000,16300000,28.6,29.2,1,2,1,2,7,6,13,21,20,12,4,1,0,4,11,14,5,6
2012,11,24,6,37,Estádio São Januário,Wagner do Nascimento Magalhães,Vasco da Gama,Flamengo,Gaúcho,Dorival Júnior,7,11,9200000,18700000,26.3,27.8,1,1,1,0,12,3,20,15,15,18,2,4,0,1,21,9,7,2
2012,9,12,3,24,Estádio Orlando Scarpelli,Marcelo de Lima Henrique,Figueirense FC,Cruzeiro,Márcio Goiano,Celso Roth,19,8,5250000,16900000,25.3,29.8,2,0,1,0,7,4,10,13,12,9,1,6,2,0,28,3,15,1
2012,6,10,0,4,Estádio Olímpico Monumental,Evandro Rogerio Roman,Grêmio,Corinthians,Vanderlei Luxemburgo,Tite,5,18,18000000,9650000,26.4,23.7,2,0,2,0,15,6,12,19,19,10,2,5,3,2,22,8,9,4
2012,8,19,0,18,Estádio Olímpico Monumental,Wilson Luiz Seneme,Grêmio,Figueirense FC,Vanderlei Luxemburgo,Hélio dos Anjos,4,20,14100000,4600000,26.7,25.5,4,0,2,0,11,5,15,13,10,15,3,5,3,0,23,7,6,2
2012,9,5,3,22,Estádio Olímpico Monumental,Ronan Marques da Rosa,Grêmio,Atlético-GO,Vanderlei Luxemburgo,Jairo,3,19,12850000,3650000,26.9,26,2,1,2,1,12,1,17,14,14,17,1,4,4,0,15,6,7,3
2012,7,7,6,8,Estádio Olímpico Nilton Santos,Raphael Claus,Botafogo,EC Bahia,Oswaldo de Oliveira,Falcão,6,14,16400000,5550000,26.2,28.3,3,0,2,0,4,7,13,16,16,13,3,3,5,3,11,10,4,3
2012,9,9,0,23,Estádio Olímpico Nilton Santos,Jailson Macedo Freitas,Botafogo,Náutico,Oswaldo de Oliveira,Alexandre Gallo,7,13,8900000,3450000,24.2,26.7,3,1,2,0,4,5,17,21,21,16,1,2,3,2,14,7,8,4
2012,10,27,6,33,Estádio Olímpico Nilton Santos,Luiz Flávio de Oliveira,Botafogo,Atlético-GO,Oswaldo de Oliveira,Arthur Neto,7,20,11800000,3550000,26.4,26.7,4,0,2,0,2,6,8,13,13,8,1,2,0,3,10,8,5,5
