ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,winner
2008,9,28,0,27,9,32,10,6,15,6,7,16,12400000,10100000,23.7,25.1,0.0,0.0,6,4,11,12,12,8,2,2,4,0,15,3,4,1,0
2008,11,9,0,34,9,4,10,2,15,2,7,15,17700000,4200000,23.8,25.2,0.0,0.0,9,10,16,17,17,16,5,4,0,2,18,17,8,4,0
2008,11,22,6,36,9,1,10,4,15,4,8,13,17800000,15400000,23.6,27.5,1.0,0.0,9,5,11,20,18,11,1,5,2,4,24,5,11,3,1
2008,5,24,6,3,10,29,11,7,16,10,17,4,3750000,7350000,27.6,26.4,2.0,0.0,11,6,11,14,14,10,1,4,1,2,10,8,4,2,1
2008,6,8,0,5,10,5,11,4,16,3,12,14,3500000,22950000,24.7,25.7,1.0,0.0,11,3,13,13,13,13,1,1,1,3,15,7,5,1,1
2008,6,22,0,7,10,17,11,11,16,12,10,14,6600000,18450000,26.3,29.6,2.0,0.0,5,6,7,19,19,7,2,4,5,6,15,11,5,5,1
2008,6,28,6,8,10,8,11,19,16,32,7,17,7250000,6800000,26.3,28.2,1.0,0.0,5,5,5,9,7,5,3,2,2,3,21,10,9,2,1
2008,7,23,3,14,10,21,11,2,16,19,5,9,6450000,6800000,25.6,24.3,1.0,0.0,11,3,10,11,9,10,1,6,6,3,23,9,6,6,1
2008,8,10,0,19,10,28,11,9,16,30,6,15,10050000,11500000,25.9,25.3,2.0,0.0,5,5,17,14,14,17,0,4,2,2,18,7,7,5,1
2008,8,20,3,21,10,35,11,14,16,15,8,10,7400000,8000000,26.9,27.7,0.0,0.0,2,4,14,16,15,14,5,1,2,0,15,11,8,5,0
2008,8,30,6,23,10,3,11,15,16,16,8,20,8350000,4550000,25.3,25.6,0.0,0.0,3,7,17,9,9,16,4,2,1,2,12,23,6,9,0
2008,9,14,0,25,10,2,11,13,16,14,8,7,7150000,12550000,26.8,25.0,1.0,0.0,16,1,15,7,7,15,2,9,0,1,29,4,12,2,1
2008,10,2,4,28,10,21,11,17,16,22,10,17,7350000,6250000,25.5,27.1,2.0,0.0,13,4,17,10,8,16,4,1,4,1,16,11,8,6,1
2008,10,29,3,32,10,7,11,5,16,5,10,3,10900000,33200000,27.5,28.2,0.0,0.0,9,4,13,8,8,13,2,2,1,1,17,7,7,4,0
2008,11,9,0,34,10,21,11,18,16,24,10,12,9900000,5450000,25.8,26.2,0.0,0.0,5,3,11,12,10,11,3,5,6,2,20,13,8,6,2
2008,11,30,0,37,10,1,11,0,16,0,10,4,11950000,16350000,27.8,25.0,0.0,0.0,10,4,16,8,8,15,0,2,4,3,8,7,3,4,0
2008,6,1,0,4,11,24,12,12,17,13,20,6,2500000,3700000,25.3,27.3,1.0,0.0,4,7,10,12,12,9,7,0,2,0,13,19,6,9,1
2008,6,7,6,5,11,36,12,2,17,19,16,3,2500000,5300000,25.2,26.8,0.0,0.0,5,5,19,11,11,18,3,5,2,2,22,13,9,3,0
2008,6,22,0,7,11,23,12,5,17,5,18,1,4700000,29400000,25.1,26.8,0.0,0.0,6,11,19,12,12,18,5,2,4,3,7,13,4,5,2
2008,7,10,4,10,11,28,12,1,17,1,19,2,4850000,24450000,25.3,25.9,1.0,0.0,3,5,19,9,8,15,4,3,3,1,12,8,5,2,0
2008,7,19,6,13,11,9,12,17,18,22,20,14,4050000,9950000,25.3,26.5,2.0,0.0,3,8,12,9,9,11,3,3,0,1,9,20,3,10,1
2008,7,26,6,15,11,8,12,11,18,12,20,7,4400000,17500000,26.0,27.8,0.0,0.0,11,3,14,8,7,14,3,4,2,2,21,21,7,10,1
2008,8,20,3,21,11,21,12,4,18,4,20,19,2600000,11900000,25.0,26.2,0.0,0.0,7,7,16,6,6,16,4,3,1,2,15,17,8,9,0
2008,8,24,0,22,11,14,12,19,19,32,20,12,4550000,7150000,25.6,29.2,0.0,0.0,6,6,16,9,9,15,2,4,1,1,16,11,8,5,1
2008,9,13,6,25,11,21,12,18,19,24,20,12,4500000,8550000,26.1,24.5,1.0,0.0,4,5,19,8,8,18,2,8,0,4,25,11,7,5,1
2008,9,28,0,27,11,13,12,9,19,26,20,17,4700000,10850000,25.7,26.5,1.0,0.0,4,8,14,12,12,13,3,6,2,1,16,11,5,4,1
2008,11,1,6,33,11,6,12,13,19,14,20,7,4350000,18600000,28.0,23.9,0.0,0.0,6,8,7,11,11,7,3,4,1,2,17,13,6,6,1
2008,11,15,6,35,11,31,12,14,20,15,20,10,4100000,7300000,26.1,29.6,1.0,0.0,7,2,22,12,11,22,5,1,1,5,14,15,6,7,1
2008,5,11,0,1,1,30,13,3,21,26,11,12,7250000,11000000,26.4,22.7,0.0,0.0,9,4,14,14,14,13,5,3,1,4,6,15,2,5,0
2008,6,1,0,4,1,13,13,17,22,22,13,18,6450000,7950000,26.8,26.4,1.0,0.0,6,5,13,19,19,13,4,3,0,1,7,13,1,3,1
2008,7,6,0,9,1,12,13,0,22,0,11,4,10450000,18450000,25.3,26.3,1.0,0.0,6,4,7,13,12,7,2,2,3,1,17,9,8,5,0
